               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.018619,           0.0094627,            0.013649,             0.91972,             0.89201,             0.95139,              0.8185,           0.0096675,           0.0027835,            0.023141,           0.0088124,           0.0088124,           0.0088124
                  73,            0.018566,           0.0094678,            0.013498,             0.91639,             0.89539,             0.95175,             0.81903,           0.0096596,            0.002784,            0.023145,           0.0087804,           0.0087804,           0.0087804
                  74,            0.018406,           0.0094085,            0.013306,             0.91483,             0.89686,             0.95176,             0.81954,           0.0096534,           0.0027838,            0.023193,           0.0087479,           0.0087479,           0.0087479
                  75,            0.018487,           0.0094597,            0.013837,             0.92063,             0.89293,             0.95208,             0.82031,            0.009649,           0.0027844,            0.023296,           0.0087151,           0.0087151,           0.0087151
                  76,            0.018307,           0.0093638,             0.01322,             0.91848,             0.89462,             0.95207,             0.82054,           0.0096409,           0.0027833,            0.023502,            0.008682,            0.008682,            0.008682
                  77,            0.018353,           0.0093837,            0.013196,             0.91888,             0.89384,             0.95237,             0.82098,           0.0096255,           0.0027828,            0.023538,           0.0086485,           0.0086485,           0.0086485
                  78,            0.018264,           0.0094325,            0.013003,             0.91547,             0.89601,             0.95258,             0.82155,           0.0096134,           0.0027812,            0.023623,           0.0086146,           0.0086146,           0.0086146
                  79,            0.018356,           0.0093324,            0.013027,             0.91456,             0.89689,             0.95261,             0.82217,           0.0095931,           0.0027778,            0.023654,           0.0085805,           0.0085805,           0.0085805
                  80,            0.018216,           0.0093541,            0.013173,             0.91395,             0.89712,             0.95304,             0.82349,           0.0095661,           0.0027736,            0.023694,           0.0085459,           0.0085459,           0.0085459
                  81,            0.018269,           0.0093083,            0.013121,              0.9115,             0.89784,             0.95317,             0.82369,           0.0095379,           0.0027686,             0.02377,           0.0085111,           0.0085111,           0.0085111
                  82,             0.01811,           0.0092659,            0.013055,             0.91779,             0.89281,             0.95337,             0.82443,           0.0095196,           0.0027664,            0.023816,           0.0084759,           0.0084759,           0.0084759
                  83,             0.01814,           0.0092432,            0.012641,             0.91799,              0.8925,              0.9537,             0.82493,           0.0095043,           0.0027653,            0.023769,           0.0084404,           0.0084404,           0.0084404
                  84,            0.018071,           0.0092941,            0.012672,             0.91809,              0.8923,             0.95394,             0.82546,           0.0094918,           0.0027641,            0.023677,           0.0084046,           0.0084046,           0.0084046
                  85,              0.0181,           0.0092834,            0.012474,              0.9258,             0.88763,              0.9541,             0.82604,           0.0094793,           0.0027611,            0.023643,           0.0083684,           0.0083684,           0.0083684
                  86,            0.018173,           0.0092401,            0.012628,             0.92673,             0.88782,             0.95448,             0.82701,           0.0094657,           0.0027561,            0.023578,           0.0083319,           0.0083319,           0.0083319
                  87,             0.01798,           0.0091986,            0.012565,             0.93118,             0.88378,             0.95436,             0.82772,           0.0094542,           0.0027534,            0.023628,           0.0082952,           0.0082952,           0.0082952
                  88,            0.017828,           0.0091122,            0.012179,             0.93256,             0.88348,             0.95419,             0.82866,           0.0094386,           0.0027522,            0.023806,           0.0082581,           0.0082581,           0.0082581
                  89,               0.018,           0.0091297,            0.012364,             0.93154,              0.8836,             0.95403,             0.82952,           0.0094291,           0.0027515,            0.023969,           0.0082207,           0.0082207,           0.0082207
                  90,            0.017922,           0.0091704,            0.012036,             0.92792,             0.88619,             0.95396,              0.8287,           0.0094241,           0.0027517,            0.024065,            0.008183,            0.008183,            0.008183
                  91,             0.01789,           0.0091955,            0.012206,             0.92621,             0.88734,             0.95426,             0.82929,           0.0094083,           0.0027526,            0.024147,            0.008145,            0.008145,            0.008145
                  92,            0.017759,           0.0090999,            0.012093,             0.93152,             0.88397,             0.95444,             0.82966,           0.0094037,           0.0027523,            0.024229,           0.0081068,           0.0081068,           0.0081068
                  93,            0.017778,           0.0091151,            0.011943,             0.93119,             0.88419,             0.95455,             0.83048,           0.0094118,           0.0027518,            0.024301,           0.0080682,           0.0080682,           0.0080682
                  94,            0.017783,           0.0092069,            0.012229,              0.9312,             0.88439,             0.95505,             0.83047,           0.0094051,           0.0027491,            0.024217,           0.0080294,           0.0080294,           0.0080294
                  95,            0.017741,           0.0090999,            0.011793,             0.93251,             0.88508,             0.95545,             0.83093,           0.0093993,           0.0027475,            0.024157,           0.0079903,           0.0079903,           0.0079903
                  96,            0.017726,           0.0090961,             0.01192,              0.9341,             0.88462,             0.95584,              0.8314,           0.0093989,           0.0027487,            0.024157,           0.0079509,           0.0079509,           0.0079509
                  97,            0.017712,           0.0090998,            0.012037,             0.93416,             0.88495,              0.9558,             0.83147,           0.0093986,           0.0027481,            0.024248,           0.0079112,           0.0079112,           0.0079112
                  98,            0.017675,            0.009029,            0.011735,             0.93452,             0.88483,             0.95597,               0.832,           0.0093937,           0.0027468,            0.024363,           0.0078713,           0.0078713,           0.0078713
                  99,            0.017625,            0.009053,            0.011603,             0.93466,             0.88526,             0.95615,             0.83298,           0.0093941,           0.0027475,            0.024305,           0.0078311,           0.0078311,           0.0078311
                 100,             0.01765,           0.0090468,            0.011931,             0.93754,             0.88205,             0.95602,             0.83376,           0.0093828,           0.0027459,            0.024366,           0.0077907,           0.0077907,           0.0077907
                 101,            0.017557,           0.0089888,             0.01169,             0.93807,             0.88252,             0.95612,             0.83356,           0.0093671,           0.0027423,            0.024474,             0.00775,             0.00775,             0.00775
                 102,            0.017455,           0.0090024,             0.01159,              0.9395,              0.8822,             0.95559,             0.83369,           0.0093648,           0.0027412,            0.024544,           0.0077091,           0.0077091,           0.0077091
                 103,            0.017468,           0.0089935,            0.011423,             0.93976,             0.88209,             0.95553,             0.83382,           0.0093637,            0.002741,            0.024531,           0.0076679,           0.0076679,           0.0076679
                 104,            0.017585,           0.0090361,            0.011631,             0.93831,             0.88283,             0.95564,             0.83444,           0.0093573,           0.0027414,            0.024662,           0.0076265,           0.0076265,           0.0076265
                 105,            0.017407,           0.0089693,            0.011305,             0.93727,             0.88355,             0.95553,             0.83501,           0.0093466,           0.0027396,            0.024779,           0.0075848,           0.0075848,           0.0075848
                 106,             0.01741,           0.0090004,            0.011692,             0.93754,             0.88327,             0.95546,             0.83554,           0.0093414,           0.0027402,            0.024741,            0.007543,            0.007543,            0.007543
                 107,            0.017334,           0.0089607,            0.011266,             0.94161,             0.87969,             0.95538,             0.83546,           0.0093369,           0.0027376,             0.02472,           0.0075009,           0.0075009,           0.0075009
                 108,            0.017306,           0.0088547,            0.011133,             0.94244,             0.87928,             0.95494,             0.83621,           0.0093356,           0.0027378,            0.024849,           0.0074585,           0.0074585,           0.0074585
                 109,            0.017389,           0.0089533,            0.011409,             0.94315,             0.87889,             0.95478,             0.83607,           0.0093274,           0.0027385,            0.024861,            0.007416,            0.007416,            0.007416
                 110,            0.017381,           0.0089377,             0.01108,             0.94316,             0.87784,             0.95433,             0.83602,           0.0093256,           0.0027395,            0.025001,           0.0073733,           0.0073733,           0.0073733
                 111,            0.017294,           0.0088871,             0.01105,             0.93453,             0.88525,             0.95415,             0.83587,           0.0093261,           0.0027403,            0.025148,           0.0073303,           0.0073303,           0.0073303
                 112,            0.017298,           0.0089001,             0.01113,             0.93422,             0.88584,             0.95362,             0.83548,           0.0093148,           0.0027405,            0.025302,           0.0072872,           0.0072872,           0.0072872
                 113,            0.017146,            0.008818,            0.010791,             0.93458,             0.88505,             0.95364,             0.83583,           0.0092961,           0.0027398,            0.025292,           0.0072438,           0.0072438,           0.0072438
                 114,            0.017123,            0.008869,            0.010596,             0.93343,             0.88618,             0.95349,             0.83601,           0.0092962,            0.002742,            0.025375,           0.0072003,           0.0072003,           0.0072003
                 115,            0.017125,           0.0088217,            0.010874,             0.93272,             0.88598,             0.95378,             0.83682,           0.0092954,           0.0027448,            0.025436,           0.0071566,           0.0071566,           0.0071566
                 116,            0.017088,           0.0088444,             0.01072,             0.93184,             0.88599,             0.95331,             0.83704,           0.0092946,           0.0027452,            0.025602,           0.0071127,           0.0071127,           0.0071127
                 117,            0.017065,           0.0087443,            0.010506,             0.93247,             0.88568,             0.95316,             0.83707,           0.0092802,           0.0027457,            0.025641,           0.0070686,           0.0070686,           0.0070686
                 118,            0.016983,           0.0088634,            0.011032,             0.93777,             0.88129,              0.9532,             0.83749,           0.0092753,           0.0027448,            0.025678,           0.0070243,           0.0070243,           0.0070243
                 119,            0.016978,           0.0088078,            0.010873,             0.93828,             0.88056,             0.95339,             0.83772,           0.0092741,           0.0027444,            0.025763,           0.0069799,           0.0069799,           0.0069799
                 120,            0.017086,           0.0088185,            0.010723,             0.93587,             0.88285,             0.95396,             0.83851,           0.0092654,           0.0027411,            0.025738,           0.0069353,           0.0069353,           0.0069353
                 121,            0.016939,           0.0088131,            0.010482,              0.9414,             0.87692,             0.95364,             0.83829,           0.0092569,           0.0027374,            0.025774,           0.0068906,           0.0068906,           0.0068906
                 122,            0.016901,           0.0087398,            0.010311,             0.93591,             0.88123,             0.95347,             0.83808,           0.0092527,           0.0027335,            0.025794,           0.0068457,           0.0068457,           0.0068457
                 123,            0.016954,           0.0087463,            0.010603,             0.93461,             0.88133,             0.95345,             0.83847,           0.0092506,             0.00273,            0.025927,           0.0068006,           0.0068006,           0.0068006
