               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.022837,            0.010429,            0.031383,             0.82295,             0.86483,             0.92181,             0.71069,            0.014413,           0.0031364,             0.01006,           0.0026563,           0.0026563,           0.0026563
                  91,            0.023014,            0.010654,             0.03042,             0.86171,             0.81367,             0.91013,             0.71425,             0.01417,           0.0031362,            0.011084,           0.0025688,           0.0025688,           0.0025688
                  92,            0.022139,            0.010223,            0.028685,             0.82354,             0.86388,             0.92239,             0.70332,            0.014311,           0.0032002,           0.0096456,           0.0024833,           0.0024833,           0.0024833
                  93,            0.021798,            0.010327,            0.029252,             0.87281,             0.85147,             0.92757,              0.7269,            0.014341,           0.0031039,            0.009885,           0.0023996,           0.0023996,           0.0023996
                  94,            0.022638,             0.01052,            0.030107,             0.81089,             0.90102,              0.9366,             0.70498,            0.015671,           0.0031111,           0.0094511,            0.002318,            0.002318,            0.002318
                  95,            0.022873,            0.010267,            0.029977,             0.86098,             0.85062,             0.92506,             0.71592,            0.014828,           0.0031364,           0.0097621,           0.0022384,           0.0022384,           0.0022384
                  96,            0.022205,            0.010471,            0.029375,             0.83977,             0.85819,             0.91918,             0.73334,            0.014438,           0.0031103,           0.0099359,           0.0021609,           0.0021609,           0.0021609
                  97,            0.022252,             0.01022,            0.028427,             0.87059,             0.85226,             0.92116,             0.68156,            0.015236,           0.0032014,           0.0099504,           0.0020856,           0.0020856,           0.0020856
                  98,            0.021502,            0.010182,            0.028262,             0.81653,             0.87824,             0.92578,             0.70924,            0.014809,           0.0031572,           0.0096725,           0.0020124,           0.0020124,           0.0020124
                  99,            0.021501,            0.010116,            0.027999,             0.85396,             0.86622,             0.92801,              0.7301,             0.01353,           0.0030836,            0.010594,           0.0019415,           0.0019415,           0.0019415
                 100,            0.020921,            0.010036,            0.027559,             0.85237,             0.85705,             0.92383,             0.74061,            0.013284,           0.0030458,           0.0092373,           0.0018729,           0.0018729,           0.0018729
                 101,            0.021819,            0.010266,            0.027393,             0.83971,             0.87901,             0.93201,             0.72261,             0.01443,           0.0031491,           0.0093397,           0.0018066,           0.0018066,           0.0018066
                 102,            0.021117,            0.010242,            0.027198,             0.81909,             0.89798,             0.93484,               0.734,            0.013806,           0.0031087,           0.0092015,           0.0017426,           0.0017426,           0.0017426
                 103,            0.021753,            0.010118,            0.028377,             0.85471,             0.87169,             0.91868,              0.7204,             0.01359,           0.0030562,           0.0096112,           0.0016811,           0.0016811,           0.0016811
                 104,            0.020742,           0.0098654,            0.025763,             0.85323,             0.86929,             0.92591,             0.70107,            0.014492,           0.0030779,           0.0083652,            0.001622,            0.001622,            0.001622
                 105,            0.021186,           0.0097644,            0.027349,             0.83425,             0.86751,             0.91536,             0.70913,            0.014835,           0.0030493,           0.0089478,           0.0015654,           0.0015654,           0.0015654
                 106,            0.020766,           0.0099929,             0.02638,             0.84237,             0.87186,             0.92102,             0.72599,            0.013855,           0.0029945,           0.0094797,           0.0015114,           0.0015114,           0.0015114
                 107,            0.020364,           0.0097535,             0.02717,             0.83575,              0.8674,             0.91517,             0.69295,            0.014811,           0.0030819,           0.0097592,           0.0014599,           0.0014599,           0.0014599
                 108,            0.020912,           0.0096424,            0.026742,             0.85588,             0.86814,              0.9231,             0.74234,            0.013331,             0.00306,           0.0089787,            0.001411,            0.001411,            0.001411
                 109,            0.020317,           0.0096876,            0.025561,             0.89153,             0.84577,             0.93315,             0.72652,            0.014525,           0.0031075,           0.0094158,           0.0013647,           0.0013647,           0.0013647
                 110,            0.020098,           0.0095998,            0.025095,             0.85484,             0.88433,             0.93225,             0.74116,            0.014024,           0.0030417,           0.0086479,           0.0013211,           0.0013211,           0.0013211
                 111,            0.020738,           0.0099466,            0.024244,             0.87269,             0.88698,             0.93789,             0.75657,            0.013054,           0.0030229,           0.0087858,           0.0012801,           0.0012801,           0.0012801
                 112,            0.019806,           0.0098248,            0.026477,             0.86564,             0.86839,             0.93607,             0.71848,            0.014521,            0.003102,           0.0089369,           0.0012419,           0.0012419,           0.0012419
                 113,            0.021042,            0.009948,            0.027295,             0.87082,             0.85609,             0.92009,             0.70957,            0.014442,           0.0031641,           0.0089954,           0.0012064,           0.0012064,           0.0012064
                 114,            0.020606,            0.010018,            0.026184,              0.8549,             0.87961,             0.92609,             0.70548,            0.014446,           0.0030807,           0.0089625,           0.0011736,           0.0011736,           0.0011736
                 115,             0.02003,           0.0098795,            0.025924,             0.89129,             0.84881,             0.91981,             0.71111,            0.013951,           0.0031482,           0.0093645,           0.0011437,           0.0011437,           0.0011437
                 116,            0.020163,           0.0097059,            0.026324,             0.84419,             0.86758,             0.92938,             0.72836,             0.01405,           0.0030465,            0.009164,           0.0011165,           0.0011165,           0.0011165
                 117,            0.019714,           0.0094278,            0.025835,             0.90217,             0.84632,             0.91677,             0.71308,            0.013701,           0.0030257,           0.0091987,           0.0010921,           0.0010921,           0.0010921
                 118,            0.020377,           0.0098834,            0.025133,             0.90243,             0.83082,             0.92426,             0.72345,            0.013731,            0.003018,           0.0090852,           0.0010706,           0.0010706,           0.0010706
                 119,            0.020388,           0.0098869,            0.024972,             0.89118,             0.84932,             0.92631,             0.72033,            0.013595,           0.0029897,           0.0092791,           0.0010519,           0.0010519,           0.0010519
                 120,            0.020095,           0.0095884,            0.024609,             0.85212,             0.86372,             0.92105,              0.7268,            0.013508,           0.0029864,           0.0091198,           0.0010361,           0.0010361,           0.0010361
                 121,            0.020414,           0.0095664,            0.025515,               0.886,             0.85492,             0.93223,             0.71971,            0.014231,           0.0029935,           0.0081462,           0.0010231,           0.0010231,           0.0010231
                 122,            0.019261,           0.0094009,            0.024495,             0.87586,             0.83866,             0.92511,             0.69849,            0.014913,            0.003007,           0.0086557,            0.001013,            0.001013,            0.001013
                 123,            0.019786,           0.0095459,            0.023203,             0.82288,             0.89124,             0.94092,             0.74574,            0.013186,           0.0029717,           0.0085906,           0.0010058,           0.0010058,           0.0010058
